"facility_id","name","ok"
"MI00650","SOO COMPENSATING WORKS",TRUE
"NV10122","HOOVER",TRUE
"AZ10307","GLEN CANYON",TRUE
"MT00025","FORT PECK DAM",TRUE
"MN00595","LOCK & DAM #3",TRUE
"WA00262","GRAND COULEE",TRUE
"FL00324","PUMPING STATION NO. 2",TRUE
"FL00327","PUMPING STATION NO. 3",TRUE
"FL00302","PUMPING STATION 131 AND LOCK",TRUE
"FL00299","PUMPING STATION 127 AND LOCK",TRUE
"FL00301","PUMPING STATION 129",TRUE
"FL36001","HERBERT HOOVER DIKE",TRUE
"FL00292","PUMPING STATION 133",TRUE
"FL00300","PUMPING STATION 135 AND LOCK",TRUE
"FL00297","HENRY CREEK LOCK",TRUE
"FL00426","STRUCTURE 153",TRUE
"FL00291","STRUCTURE 193 (HURRICANE GATE NO.6)",TRUE
"FL00678","PUMPING STATION NO. 236",TRUE
"FL00312","STRUCTURE 310 (HURRICANE GATE NO.2)",TRUE
"KY15701","KENTUCKY",TRUE
"ND01072","RAAD - ACORN RIDGE",TRUE
"TX00011","SAM RAYBURN DAM AND RESERVOIR",TRUE
"TX00021","WRIGHT PATMAN DAM AND LAKE",TRUE
"SD01093","FORT RANDALL DAM",TRUE
"KY03010","WOLF CREEK",TRUE
"MT00652","LIBBY",TRUE
"AR00160","BULL SHOALS",TRUE
"MO20725","HARRY S TRUMAN DAM",TRUE
"OK10317","DENISON DAM",TRUE
"TX02296","AMISTAD",TRUE
"LA00030","TOLEDO BEND SADDLE DIKE 1",TRUE
"AZ10002","PAINTED ROCK DAM",TRUE
"CA10186","SHASTA",TRUE
"UT10121","FLAMING GORGE",TRUE
"MN00653","RAINY LAKE",TRUE
"OK10308","EUFAULA LAKE",TRUE
"GA01701","J. STROM THURMOND DAM",TRUE
"AR00150","BLAKELY MOUNTAIN DAM",TRUE
"MT00565","HUNGRY HORSE",TRUE
"ID00287","DWORSHAK DAM AND RESERVOIR",TRUE
"CA00035","OROVILLE",TRUE
"MO30202","TABLE ROCK DAM",TRUE
"GA01702","HARTWELL DAM",TRUE
"AZ10317","THEODORE ROOSEVELT",TRUE
"MN00573","LOWER RED LAKE DAM",TRUE
"TX01087","MANSFIELD DAM",TRUE
"TX00024","FALCON",TRUE
"MS01493","SARDIS DAM",TRUE
"AR00173","GREERS FERRY",TRUE
"FL00343","PUMPING STATION NO. 8",TRUE
"FL00681","STRUCTURE 333",TRUE
"MS01494","GRENADA DAM",TRUE
"MO30014","OSAGE",TRUE
"NM00129","ELEPHANT BUTTE",TRUE
"SC82201","ST. STEPHEN POWERHOUSE",TRUE
"GA00824","BUFORD",TRUE
"OR00011","JOHN DAY LOCK AND DAM",TRUE
"CA10196","TRINITY",TRUE
"TX00023","SANFORD",TRUE
"WI00814","MENASHA GENLAWS",TRUE
"CA10246","NEW MELONES",TRUE
"CA00281","DON PEDRO MAIN",TRUE
"KS00012","TUTTLE CREEK DAM",TRUE
"NY00230","LAKE GEORGE OUTLET",TRUE
"SC00224","SALUDA",TRUE
"OK00135","PENSACOLA",TRUE
"TX00017","WHITNEY LAKE",TRUE
"TN04102","CENTER HILL DAM",TRUE
"KY03001","BARKLEY DAM",TRUE
"MT00568","CANYON FERRY",TRUE
"TX03823","LIVINGSTON DAM",TRUE
"CA10183","B. F. SISK",TRUE
"NY00677","LONG SAULT DAM",TRUE
"TX00020","FERRELLS BRIDGE DAM",TRUE
"NM00120","NAVAJO",TRUE
