"site","duration","return_period_yr","AEP","depth_mm","depth_lo_mm","depth_hi_mm","rel_rmse"
"SOO COMPENSATING WORKS","24h",2,0.5,47.4,46.99,47.99,0.007
"SOO COMPENSATING WORKS","24h",5,0.2,60.29,59.87,60.76,0.005
"SOO COMPENSATING WORKS","24h",10,0.1,68.81,67.71,69.68,0.009
"SOO COMPENSATING WORKS","24h",25,0.04,79.59,77.24,81.42,0.017
"SOO COMPENSATING WORKS","24h",50,0.02,87.62,83.99,90.42,0.023
"SOO COMPENSATING WORKS","24h",100,0.01,95.66,90.65,99.6,0.029
"SOO COMPENSATING WORKS","24h",200,0.005,103.77,97.18,108.91,0.035
"SOO COMPENSATING WORKS","24h",500,0.002,114.66,105.76,121.64,0.043
"SOO COMPENSATING WORKS","24h",1000,0.001,123.07,112.38,131.63,0.049
"SOO COMPENSATING WORKS","24h",2000,5e-04,131.65,118.9,141.83,0.055
"SOO COMPENSATING WORKS","24h",5000,2e-04,143.27,127.69,155.82,0.062
"SOO COMPENSATING WORKS","24h",10000,1e-04,152.3,134.29,166.76,0.068
"SOO COMPENSATING WORKS","72h",2,0.5,52.93,52.49,53.5,0.006
"SOO COMPENSATING WORKS","72h",5,0.2,66.91,66.44,67.37,0.004
"SOO COMPENSATING WORKS","72h",10,0.1,75.67,74.51,76.61,0.009
"SOO COMPENSATING WORKS","72h",25,0.04,86.17,83.93,88.02,0.015
"SOO COMPENSATING WORKS","72h",50,0.02,93.61,90.48,96.16,0.019
"SOO COMPENSATING WORKS","72h",100,0.01,100.75,96.7,104.09,0.023
"SOO COMPENSATING WORKS","72h",200,0.005,107.66,102.66,111.82,0.026
"SOO COMPENSATING WORKS","72h",500,0.002,116.52,110.22,121.76,0.031
"SOO COMPENSATING WORKS","72h",1000,0.001,123.07,115.82,129.14,0.034
"SOO COMPENSATING WORKS","72h",2000,5e-04,129.5,121.26,136.39,0.036
"SOO COMPENSATING WORKS","72h",5000,2e-04,137.85,128.21,145.81,0.04
"SOO COMPENSATING WORKS","72h",10000,1e-04,144.07,133.33,152.85,0.042
"HOOVER","24h",2,0.5,31.49,31.17,32.2,0.011
"HOOVER","24h",5,0.2,44.92,44.65,45.37,0.005
"HOOVER","24h",10,0.1,54.77,53.89,55.5,0.009
"HOOVER","24h",25,0.04,69.14,66.64,70.7,0.019
"HOOVER","24h",50,0.02,81.6,77.25,84.08,0.028
"HOOVER","24h",100,0.01,95.84,88.88,99.69,0.037
"HOOVER","24h",200,0.005,112.2,101.74,117.68,0.047
"HOOVER","24h",500,0.002,137.71,121.38,146.3,0.06
"HOOVER","24h",1000,0.001,160.48,138.32,171.98,0.07
"HOOVER","24h",2000,5e-04,186.78,157.05,202.28,0.081
"HOOVER","24h",5000,2e-04,227.91,185.63,250.33,0.095
"HOOVER","24h",10000,1e-04,264.68,210.34,294.17,0.106
"HOOVER","72h",2,0.5,38.11,37.66,38.86,0.011
"HOOVER","72h",5,0.2,54.54,54.15,55.12,0.006
"HOOVER","72h",10,0.1,66.25,65.2,67.2,0.009
"HOOVER","72h",25,0.04,82.93,80.34,85.06,0.018
"HOOVER","72h",50,0.02,97.08,92.52,100.4,0.026
"HOOVER","72h",100,0.01,112.95,106.04,117.75,0.035
"HOOVER","72h",200,0.005,130.83,120.59,137.78,0.044
"HOOVER","72h",500,0.002,158.12,142.21,169.54,0.056
"HOOVER","72h",1000,0.001,181.97,160.45,197.07,0.065
"HOOVER","72h",2000,5e-04,209.01,180.95,229.02,0.075
"HOOVER","72h",5000,2e-04,250.39,211.56,278.2,0.089
"HOOVER","72h",10000,1e-04,286.6,236.83,321.77,0.099
"GLEN CANYON","24h",2,0.5,29.36,29.17,29.66,0.006
"GLEN CANYON","24h",5,0.2,40.65,40.47,40.89,0.003
"GLEN CANYON","24h",10,0.1,48.63,48.14,48.98,0.006
"GLEN CANYON","24h",25,0.04,59.31,57.98,60.22,0.012
"GLEN CANYON","24h",50,0.02,67.7,65.52,69.12,0.018
"GLEN CANYON","24h",100,0.01,76.44,73.16,78.55,0.024
"GLEN CANYON","24h",200,0.005,85.58,80.93,88.56,0.03
"GLEN CANYON","24h",500,0.002,98.32,91.55,102.71,0.039
"GLEN CANYON","24h",1000,0.001,108.49,99.73,114.37,0.046
"GLEN CANYON","24h",2000,5e-04,119.16,108.11,126.7,0.053
"GLEN CANYON","24h",5000,2e-04,134.07,119.54,144.21,0.063
"GLEN CANYON","24h",10000,1e-04,145.98,128.44,158.41,0.07
"GLEN CANYON","72h",2,0.5,37.24,37,37.8,0.008
"GLEN CANYON","72h",5,0.2,50.81,50.67,51.17,0.004
"GLEN CANYON","72h",10,0.1,61.07,60.33,61.64,0.007
"GLEN CANYON","72h",25,0.04,76.41,74.28,77.67,0.015
"GLEN CANYON","72h",50,0.02,90.02,86.31,92.09,0.022
"GLEN CANYON","72h",100,0.01,105.87,99.86,108.94,0.03
"GLEN CANYON","72h",200,0.005,124.44,115.44,128.84,0.039
"GLEN CANYON","72h",500,0.002,154.03,139.72,160.93,0.051
"GLEN CANYON","72h",1000,0.001,181.04,161.08,190.32,0.06
"GLEN CANYON","72h",2000,5e-04,212.82,185.78,225.15,0.069
"GLEN CANYON","72h",5000,2e-04,263.64,224.24,281.55,0.082
"GLEN CANYON","72h",10000,1e-04,310.07,258.47,333.49,0.092
