"site","site_id","duration","station","n","mean","Lcv","Lskew","Lkurt"
"WISHON MAIN","CA00411","24h","USC00043551",73,118.362,0.2343,0.1681,0.1602
"WISHON MAIN","CA00411","24h","USC00040755",49,85.922,0.1965,0.1501,0.1088
"WISHON MAIN","CA00411","24h","USC00044176",71,89.805,0.2028,0.2063,0.1985
"WISHON MAIN","CA00411","24h","USC00040820",32,54.519,0.2222,0.1684,0.0478
"WISHON MAIN","CA00411","24h","USC00045496",27,77.192,0.2385,0.2754,0.1793
"WISHON MAIN","CA00411","24h","USC00040819",42,45.076,0.289,0.2049,0.1904
"WISHON MAIN","CA00411","24h","USC00045026",49,127.226,0.2471,0.1638,0.1378
"WISHON MAIN","CA00411","24h","USC00043397",44,138.071,0.2528,0.2128,0.1812
"WISHON MAIN","CA00411","24h","USC00046252",67,87.194,0.1988,0.261,0.2413
"WISHON MAIN","CA00411","24h","USC00041878",25,70.485,0.2128,0.3006,0.1931
"WISHON MAIN","CA00411","24h","USC00048380",65,119.319,0.2384,0.2286,0.1756
"WISHON MAIN","CA00411","24h","USC00048463",38,108.168,0.2595,0.3102,0.2686
"WISHON MAIN","CA00411","24h","USC00048455",20,91.586,0.2634,0.3706,0.2702
"WISHON MAIN","CA00411","24h","USC00042331",38,28.601,0.2529,0.0419,0.0927
"WISHON MAIN","CA00411","24h","USC00045346",65,82.09,0.1969,0.3075,0.2235
"WISHON MAIN","CA00411","24h","USC00262431",74,27.824,0.2776,0.2975,0.2021
"WISHON MAIN","CA00411","24h","USC00045779",38,52.848,0.2922,0.4026,0.3376
"WISHON MAIN","CA00411","24h","USC00044389",20,79.388,0.2632,0.3381,0.2316
"WISHON MAIN","CA00411","24h","USC00041300",23,71.146,0.2785,0.3286,0.1702
"WISHON MAIN","CA00411","24h","USC00043710",84,36.845,0.2572,0.1987,0.1669
"WISHON MAIN","CA00411","24h","USC00044679",41,103.717,0.1914,0.3129,0.2209
"WISHON MAIN","CA00411","24h","USC00040943",53,40.657,0.2281,0.1882,0.116
"WISHON MAIN","CA00411","24h","USC00041697",62,119.733,0.206,0.2038,0.1102
"WISHON MAIN","CA00411","24h","USC00047096",27,84.068,0.1924,0.2588,0.1682
"WISHON MAIN","CA00411","24h","USC00041072",65,37.174,0.2412,0.1773,0.1393
"WISHON MAIN","CA00411","24h","USC00044523",58,44.427,0.2307,0.1579,0.1845
"WISHON MAIN","CA00411","24h","USC00043463",64,54.203,0.2077,0.2708,0.2064
"WISHON MAIN","CA00411","24h","USC00043468",30,60.225,0.2283,0.2631,0.2327
